CustomerID,Latitude,Longitude
234707,28.419628,-81.361303
261179,28.690794,-81.557236
261180,28.440679,-81.399926
261181,28.429541,-81.417523
261182,28.508524,-81.380675
261183,28.575346,-81.430222
261184,28.447248,-81.374244
261185,28.547292,-81.42679
261186,28.540133,-81.40098
261187,28.324379,-80.721909
261188,28.428827,-81.388761
261189,28.68296,-81.358628
261190,28.690794,-81.557236
261191,28.507818,-81.441036
261192,28.560498,-81.310881
261193,28.731775,-81.365687
261194,28.548241,-81.423615
261195,28.585392,-81.413863
261196,28.582884,-81.430872
261197,28.504809,-81.446092
261198,29.293453,-81.119932
261199,29.132847,-80.990801
261200,28.579373,-81.437925
261201,28.192478,-80.663279
261202,28.577621,-81.427162
261203,28.104896,-80.672555
261204,28.579967,-81.430802
261205,28.506206,-81.438999
261206,29.205381,-81.084834
261207,28.500009,-81.378512
261208,29.220973,-81.046212
261209,28.459102,-81.40362
261210,28.585392,-81.413863
261211,29.328443,-81.11326
261212,28.428827,-81.388761
261213,28.362229,-80.737466
261214,28.304165,-80.715888
261215,28.109376,-80.672659
261216,28.304072,-80.71331
261217,29.316591,-81.107792
261218,28.508603,-81.435904
261219,28.304191,-80.707976
261220,28.593028,-81.363465
261221,28.760259,-81.256603
261222,28.516107,-81.384711
261223,29.223743,-81.045197
261224,28.097815,-80.667829
261225,28.515628,-81.386521
261226,28.545654,-81.394178
261227,28.09939,-80.68103
261228,29.246365,-81.043621
261229,28.419628,-81.361303
261230,28.683208,-81.34776
261231,28.40283,-81.39235
261232,28.459001,-81.421303
261233,28.458571,-81.365789
261234,28.458823,-81.405567
261235,28.615383,-81.425723
261236,28.567484,-81.404689
261237,28.102244,-80.689088
261238,28.454097,-81.417318
261239,28.505689,-81.440328
261240,28.085356,-80.641007
261241,28.427373,-81.342154
261242,28.527379,-81.384694
261243,28.599375,-81.419861
261244,28.502626,-81.435542
261245,28.890189,-81.308986
261246,28.728067,-81.517778
261247,28.872375,-81.280451
261248,28.502766,-81.428909
261249,28.394004,-81.532734
261250,28.320032,-81.392741
261251,28.569558,-81.406055
261252,28.359238,-80.705747
261253,28.07862,-80.614242
261254,28.585392,-81.413863
261255,29.029778,-81.336711
261256,28.416411,-81.396374
261257,28.461178,-81.450998
261258,28.612287,-81.420652
261259,29.224144,-81.033763
261260,28.488017,-81.372932
261261,28.273426,-81.421776
261262,28.588765,-81.297546
261263,28.409582,-81.401514
261264,28.578071,-81.417989
261265,28.470676,-81.368667
261266,28.542055,-81.385859
261267,28.119543,-80.690907
261268,29.138859,-80.998718
261269,28.631497,-81.825095
261270,28.922896,-80.868041
261271,29.285271,-81.071185
261272,28.406774,-81.399841
261273,28.567257,-81.40786
261274,29.2254,-81.034035
261275,28.099766,-80.674256
261276,28.586998,-81.414413
261277,29.029778,-81.336711
261278,28.50868,-81.429461
261279,29.213653,-81.073869
261280,28.774462,-81.256184
261281,28.570282,-81.171097
261282,29.028253,-80.890965
261283,28.562544,-81.548971
261284,28.581843,-81.43523
261285,28.558562,-81.568441
261286,28.804813,-81.294444
261287,28.418017,-81.396505
261288,29.270374,-81.059612
261289,28.045256,-80.596959
261290,28.660919,-81.417122
261291,28.462699,-81.366868
261292,29.179614,-81.009309
261293,28.626485,-81.245634
261294,28.572312,-81.403261
261295,28.574204,-81.41608
261296,28.683958,-81.390176
261297,28.468759,-80.765614
261298,28.456014,-81.402097
261299,28.560615,-81.305758
261300,28.551909,-81.477173
261301,28.078728,-80.667094
261302,28.463306,-81.412931
261303,28.580437,-81.422641
261304,29.180401,-81.079811
261305,28.621412,-81.445165
261306,28.363495,-80.735925
261307,28.344351,-80.688069
261308,28.595004,-81.279088
261309,28.611855,-81.421454
261310,28.582668,-81.413792
261311,28.363231,-80.737604
261312,28.691953,-81.552164
261313,28.573858,-81.570344
261314,28.800573,-81.604667
261315,28.581859,-81.433372
261316,28.526453,-81.394052
